"ID","Surfweight","Year","Age","Sex","Ethnicity","Edu","LFS","Partner","Parent","NumberChildren","Tenure","HhIncome","NZDep","Migrant","Disability","HomeAfford","LifeSatisfy","LifeWorth","Health","TeReo","GovTereo","Selfactual","Trust","TrustPolice","TrustMedia","TrustParliament","Voted","Mwb","Housecold","Housedamp","Moves","AccessMed","AccessGreen","AccessPt","NeighConnect","NeighCrime","Victim","Discrim","Lonely","Hardtalk","AgeC","SexC","DisabilityC","EthnicityC","VotedC","LFSC"
42,3099.207,2021,"25-34","Female","European/Other",4,"Employed",0,0,0,3,1,7,4,"not disabled",5,9,9,5,1,5,5,4,10,0,3,"No",18,99,1,NA,NA,NA,NA,NA,9,0,1,1,1,2,1,0,4,0,1
43,3743.211,2021,"45-54","Male","European/Other",1,"Not in the labour force",1,0,0,1,1,4,1,"Disabled",8,7,7,1,1,3,5,8,7,7,6,"Yes",16,1,1,NA,NA,NA,NA,NA,5,0,0,1,1,4,0,1,4,1,3
44,1607.449,2021,"35-44","Male","Maori",2,"Employed",1,0,0,1,3,6,1,"not disabled",7,7,7,3,1,2,2,4,5,0,1,"Yes",17,2,2,NA,NA,NA,NA,NA,8,0,1,3,4,3,0,0,1,1,1
45,6400.557,2021,"55-64","Female","European/Other",4,"Employed",1,0,0,1,3,1,6,"not disabled",10,9,9,4,2,5,5,10,8,8,9,"Yes",19,2,1,NA,NA,NA,NA,NA,2,0,0,1,2,5,1,0,4,1,1
46,2357.847,2021,"65+","Male","European/Other",2,"Not in the labour force",0,0,0,3,1,3,6,"not disabled",7,10,9,5,2,3,4,7,7,1,1,"Yes",18,1,1,NA,NA,NA,NA,NA,8,0,1,1,6,6,0,0,4,1,3
47,21099.87,2021,"35-44","Female","European/Other",4,"Employed",1,1,1,1,2,9,1,"not disabled",7,9,10,4,2,5,5,6,6,3,6,"Yes",15,1,1,NA,NA,NA,NA,NA,8,0,1,2,1,3,1,0,4,1,1
48,10641.72,2021,"65+","Male","European/Other",1,"Employed",1,0,0,2,1,8,1,"not disabled",8,9,10,4,1,3,5,8,9,5,2,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,1,1,6,0,0,4,1,1
49,6388.127,2021,"35-44","Female","European/Other",3,"Not in the labour force",1,1,1,1,3,2,2,"not disabled",7,10,8,3,1,4,5,8,9,8,5,"Yes",17,1,1,NA,NA,NA,NA,NA,3,0,0,1,5,3,1,0,4,1,3
50,6238.577,2021,"35-44","Female","Asian",3,"Employed",0,0,0,2,2,5,6,"not disabled",10,7,8,3,1,3,4,6,7,7,7,"Yes",20,1,2,NA,NA,NA,NA,NA,4,1,1,2,1,3,1,0,3,1,1
51,4290.248,2021,"45-54","Female","European/Other",2,"Employed",1,1,3,1,3,5,1,"not disabled",7,8,8,4,1,2,3,6,8,5,6,"Yes",13,2,2,NA,NA,NA,NA,NA,3,0,0,1,4,4,1,0,4,1,1
52,1118.251,2021,"45-54","Female","Pacific",4,"Employed",0,0,0,2,3,5,2,"not disabled",10,8,7,5,1,4,4,7,8,7,7,"Yes",20,2,1,NA,NA,NA,NA,NA,3,0,0,2,2,4,1,0,2,1,1
53,6307.572,2021,"15-24","Male","European/Other",1,"Employed",0,0,0,3,2,10,3,"not disabled",6,8,10,2,3,5,3,5,7,3,10,"Yes",4,4,1,NA,NA,NA,NA,NA,8,0,0,2,4,1,0,0,4,1,1
54,751.2394,2021,"45-54","Male","Maori",1,"Employed",0,0,0,1,2,8,1,"not disabled",3,2,3,3,1,2,3,0,7,5,5,"Yes",6,2,2,NA,NA,NA,NA,NA,5,0,1,3,3,4,0,0,1,1,1
55,3195.356,2021,"45-54","Male","European/Other",1,"Not in the labour force",1,0,0,1,3,5,1,"Disabled",8,7,7,4,1,5,5,6,7,5,5,"Yes",19,4,1,NA,NA,NA,NA,NA,3,0,0,1,1,4,0,1,4,1,3
56,1631.225,2021,"65+","Male","Pacific",4,"Employed",1,0,0,2,2,10,1,"not disabled",4,8,8,4,1,3,4,6,6,3,8,"Yes",16,2,2,NA,NA,NA,NA,NA,3,0,0,1,4,6,0,0,2,1,1
57,1631.225,2021,"45-54","Male","Pacific",4,"Employed",1,1,2,2,3,3,5,"not disabled",10,9,9,2,1,4,4,9,7,8,8,"No",20,1,1,NA,NA,NA,NA,NA,3,0,0,1,1,4,0,0,2,0,1
58,17042.84,2021,"65+","Male","European/Other",3,"Employed",1,0,0,1,2,2,1,"not disabled",6,6,5,3,1,2,4,4,8,5,7,"Yes",20,2,2,NA,NA,NA,NA,NA,5,1,0,1,1,6,0,0,4,1,1
59,924.4025,2021,"35-44","Female","European/Other",1,"Not in the labour force",1,1,2,1,3,2,1,"not disabled",7,10,10,3,1,3,5,8,10,5,5,"Yes",19,1,1,NA,NA,NA,NA,NA,4,0,0,1,3,3,1,0,4,1,3
60,187.1792,2021,"45-54","Male","Maori",4,"Not in the labour force",1,0,0,1,3,5,1,"not disabled",8,8,10,4,3,5,5,7,7,3,5,"Yes",16,1,1,NA,NA,NA,NA,NA,4,0,0,1,1,4,0,0,1,1,3
61,51.87635,2021,"35-44","Female","Maori",2,"Unemployed",1,1,2,1,2,8,2,"not disabled",7,7,7,2,2,4,4,7,8,5,5,"Yes",12,1,1,NA,NA,NA,NA,NA,8,1,0,1,2,3,1,0,1,1,2
62,171.9389,2021,"55-64","Female","Pacific",1,"Employed",0,0,0,3,2,10,6,"not disabled",9,10,10,4,1,5,4,10,10,10,10,"Yes",11,2,2,NA,NA,NA,NA,NA,3,0,0,1,2,5,1,0,2,1,1
63,14496.11,2021,"25-34","Male","European/Other",3,"Employed",1,1,2,3,3,2,1,"not disabled",8,8,8,3,2,4,5,7,9,3,6,"Yes",11,1,1,NA,NA,NA,NA,NA,5,0,0,1,2,2,0,0,4,1,1
64,2134.058,2021,"25-34","Male","European/Other",4,"Not in the labour force",1,0,0,1,3,4,1,"not disabled",7,9,8,4,1,5,5,7,9,3,2,"Yes",16,2,2,NA,NA,NA,NA,NA,3,0,0,3,4,2,0,0,4,1,3
65,13753.64,2021,"25-34","Male","European/Other",1,"Employed",1,1,4,3,3,9,1,"not disabled",9,7,8,2,3,5,5,7,9,6,8,"Yes",14,2,1,NA,NA,NA,NA,NA,3,0,0,4,3,2,0,0,4,1,1
66,10018.71,2021,"65+","Female","European/Other",2,"Employed",1,0,0,2,1,5,6,"not disabled",7,8,7,3,1,3,4,8,9,5,6,"Yes",19,1,1,NA,NA,NA,NA,NA,8,0,0,1,2,6,1,0,4,1,1
67,3093.085,2021,"15-24","Male","European/Other",1,"Not in the labour force",0,0,0,3,2,4,1,"not disabled",6,8,7,3,1,4,3,7,8,3,6,"Yes",7,99,2,NA,NA,NA,NA,NA,3,0,0,2,2,1,0,0,4,1,3
68,11897.22,2021,"65+","Female","European/Other",1,"Employed",0,0,0,2,1,5,1,"not disabled",10,10,10,2,1,1,5,8,10,7,7,"Yes",18,1,1,NA,NA,NA,NA,NA,3,0,1,2,3,6,1,0,4,1,1
69,11897.22,2021,"65+","Female","European/Other",4,"Employed",0,0,0,2,2,2,1,"not disabled",8,8,8,3,1,2,5,8,7,4,7,"Yes",18,1,1,NA,NA,NA,NA,NA,3,0,0,1,4,6,1,0,4,1,1
70,8301.636,2021,"25-34","Female","European/Other",4,"Employed",0,0,0,3,2,7,1,"not disabled",9,9,9,5,1,3,5,7,7,5,8,"Yes",17,3,1,NA,NA,NA,NA,NA,3,0,0,3,1,2,1,0,4,1,1
71,5460.035,2021,"55-64","Female","European/Other",1,"Not in the labour force",1,0,0,2,3,2,6,"not disabled",10,10,8,3,1,3,5,9,10,6,10,"Yes",18,1,1,NA,NA,NA,NA,NA,3,0,1,1,1,5,1,0,4,1,3
72,2973.13,2021,"25-34","Male","Asian",1,"Employed",0,1,1,3,1,10,1,"not disabled",0,5,10,4,1,5,3,3,0,0,0,"No",7,1,2,NA,NA,NA,NA,NA,3,0,0,1,1,2,0,0,3,0,1
73,4151.167,2021,"65+","Male","Asian",4,"Employed",1,0,0,1,2,10,2,"not disabled",7,7,7,3,1,4,5,7,7,5,7,"Yes",16,1,2,NA,NA,NA,NA,NA,8,0,0,1,2,6,0,0,3,1,1
74,12899.09,2021,"35-44","Male","European/Other",2,"Employed",1,0,0,3,3,9,5,"not disabled",7,8,8,4,1,3,4,9,10,9,10,"No",19,1,1,NA,NA,NA,NA,NA,8,0,0,1,2,3,0,0,4,0,1
75,9731.357,2021,"25-34","Female","European/Other",3,"Employed",0,0,0,3,1,9,1,"not disabled",10,7,7,5,3,5,4,0,0,0,0,"No",18,4,2,NA,NA,NA,NA,NA,3,1,1,1,2,2,1,0,4,0,1
76,12584.5,2021,"15-24","Female","European/Other",1,"Employed",1,1,2,3,2,8,2,"not disabled",5,8,7,3,1,4,5,7,8,4,7,"Yes",9,1,1,NA,NA,NA,NA,NA,9,0,0,2,2,1,1,0,4,1,1
77,2109.995,2021,"35-44","Female","European/Other",2,"Employed",0,1,1,1,1,3,1,"not disabled",3,4,7,2,2,3,4,7,9,5,5,"No",2,3,2,NA,NA,NA,NA,NA,8,0,0,1,3,3,1,0,4,0,1
78,13462.8,2021,"65+","Male","European/Other",1,"Employed",0,0,0,2,3,5,6,"not disabled",5,10,10,4,1,3,5,9,10,7,5,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,1,1,6,0,0,4,1,1
79,2568.609,2021,"55-64","Female","European/Other",1,"Not in the labour force",1,0,0,2,3,1,6,"not disabled",10,7,9,4,1,4,5,6,7,7,6,"Yes",20,1,1,NA,NA,NA,NA,NA,3,1,0,1,1,5,1,0,4,1,3
80,2568.609,2021,"25-34","Female","European/Other",1,"Not in the labour force",1,1,4,3,3,9,1,"not disabled",7,9,10,5,4,5,5,5,9,5,7,"Yes",17,2,1,NA,NA,NA,NA,NA,5,0,0,1,2,2,1,0,4,1,3
81,15639.58,2021,"35-44","Female","European/Other",2,"Employed",1,1,3,3,2,4,4,"not disabled",5,8,9,3,1,4,4,8,10,10,7,"No",14,1,1,NA,NA,NA,NA,NA,8,0,0,2,1,3,1,0,4,0,1
82,9561.396,2021,"35-44","Male","European/Other",4,"Employed",1,1,3,1,3,8,6,"not disabled",3,8,8,3,2,5,5,7,7,5,5,"Yes",13,2,2,NA,NA,NA,NA,NA,4,0,1,2,4,3,0,0,4,1,1
83,844.4471,2021,"45-54","Female","Asian",1,"Employed",1,1,2,1,3,7,1,"Disabled",8,10,8,3,2,4,5,7,10,5,10,"Yes",13,3,2,NA,NA,NA,NA,NA,5,0,0,2,2,4,1,1,3,1,1
84,220.7072,2021,"65+","Female","Asian",4,"Not in the labour force",1,0,0,2,3,5,1,"not disabled",10,10,10,5,1,4,5,7,8,9,5,"Yes",20,1,1,NA,NA,NA,NA,NA,8,0,0,1,2,6,1,0,3,1,3
85,7218.453,2021,"65+","Female","European/Other",1,"Not in the labour force",1,0,0,2,1,6,6,"not disabled",7,7,5,2,1,4,4,7,8,7,6,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,2,3,6,1,0,4,1,3
86,24769.08,2021,"65+","Female","European/Other",2,"Employed",1,0,0,1,3,5,6,"not disabled",7,7,8,2,1,3,4,7,7,6,7,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,1,2,6,1,0,4,1,1
87,2658.929,2021,"35-44","Male","Maori",1,"Employed",0,0,0,1,3,10,1,"not disabled",2,5,5,3,2,2,4,2,7,0,2,"Yes",7,3,1,NA,NA,NA,NA,NA,4,1,0,1,3,3,0,0,1,1,1
88,1482.178,2021,"65+","Female","Asian",1,"Employed",0,0,0,2,1,4,1,"not disabled",5,5,5,3,1,2,4,5,1,5,5,"Yes",12,4,2,NA,NA,NA,NA,NA,3,0,1,2,5,6,1,0,3,1,1
89,3120.535,2021,"35-44","Male","European/Other",1,"Not in the labour force",1,1,2,1,2,5,1,"not disabled",5,7,8,4,2,4,5,8,9,3,5,"Yes",9,1,2,NA,NA,NA,NA,NA,4,1,0,3,2,3,0,0,4,1,3
90,6674.356,2021,"45-54","Female","European/Other",1,"Not in the labour force",1,1,4,1,2,10,1,"not disabled",7,9,8,4,1,2,4,6,9,8,6,"Yes",18,1,1,NA,NA,NA,NA,NA,5,0,0,1,2,4,1,0,4,1,3
91,4305.789,2021,"15-24","Male","European/Other",1,"Employed",0,0,0,3,2,6,1,"not disabled",5,6,8,3,1,3,5,2,7,4,4,"Not Eligible",19,2,1,NA,NA,NA,NA,NA,5,0,1,2,1,1,0,0,4,99,1
92,10551.96,2021,"65+","Male","European/Other",1,"Employed",1,0,0,2,2,6,1,"Disabled",10,10,10,4,1,1,4,8,8,0,0,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,2,1,6,0,1,4,1,1
93,7292.791,2021,"45-54","Female","European/Other",3,"Employed",0,1,3,1,3,3,1,"not disabled",5,9,9,3,1,2,5,7,9,1,2,"Yes",20,2,1,NA,NA,NA,NA,NA,3,1,0,1,2,4,1,0,4,1,1
95,3513.902,2021,"65+","Female","European/Other",2,"Employed",0,0,0,2,1,6,1,"not disabled",10,6,6,5,1,3,4,8,9,7,6,"Yes",20,1,2,NA,NA,NA,NA,NA,3,0,0,2,2,6,1,0,4,1,1
96,7965.014,2021,"65+","Female","European/Other",1,"Employed",0,0,0,3,1,5,6,"Disabled",10,8,8,3,1,5,4,8,8,4,5,"Yes",18,1,1,NA,NA,NA,NA,NA,1,0,0,1,2,6,1,1,4,1,1
97,1191.051,2021,"25-34","Female","Asian",2,"Employed",0,0,0,1,2,6,1,"not disabled",5,7,8,4,1,4,4,7,8,6,6,"No",19,1,1,NA,NA,NA,NA,NA,3,0,0,1,2,2,1,0,3,0,1
98,735.8679,2021,"35-44","Female","Asian",1,"Not in the labour force",1,1,1,1,3,4,1,"not disabled",7,7,7,3,1,3,2,5,8,0,0,"Yes",19,1,1,NA,NA,NA,NA,NA,4,0,1,1,2,3,1,0,3,1,3
99,735.8679,2021,"15-24","Male","Asian",1,"Not in the labour force",0,0,0,3,3,8,1,"not disabled",5,8,8,4,1,5,4,8,8,7,8,"Yes",13,2,2,NA,NA,NA,NA,NA,9,0,1,2,3,1,0,0,3,1,3
100,13231.92,2021,"35-44","Male","European/Other",4,"Employed",1,0,0,3,1,5,5,"not disabled",5,4,7,3,1,2,3,6,6,3,5,"No",13,1,2,NA,NA,NA,NA,NA,8,1,0,1,3,3,0,0,4,0,1
101,1274.723,2021,"45-54","Male","Asian",4,"Employed",1,1,2,1,3,5,2,"not disabled",7,6,7,3,1,4,4,0,8,0,0,"Yes",12,3,1,NA,NA,NA,NA,NA,5,0,1,1,2,4,0,0,3,1,1
102,3698.659,2021,"35-44","Male","European/Other",4,"Employed",0,0,0,3,1,4,6,"not disabled",6,8,8,3,1,4,5,5,9,5,8,"Yes",14,2,1,NA,NA,NA,NA,NA,3,0,0,1,2,3,0,0,4,1,1
103,1665.667,2021,"65+","Female","European/Other",1,"Not in the labour force",0,0,0,3,2,8,1,"not disabled",10,6,6,3,1,2,4,6,7,5,6,"Yes",20,2,1,NA,NA,NA,NA,NA,3,0,1,3,3,6,1,0,4,1,3
104,15626.72,2021,"45-54","Male","European/Other",3,"Employed",1,0,0,1,2,2,1,"not disabled",4,7,8,3,2,2,3,6,8,5,5,"Yes",13,1,2,NA,NA,NA,NA,NA,3,0,1,3,2,4,0,0,4,1,1
105,11384.6,2021,"55-64","Male","European/Other",1,"Employed",1,0,0,2,3,6,1,"not disabled",8,10,10,5,1,5,5,7,9,0,0,"Yes",19,1,1,NA,NA,NA,NA,NA,3,0,0,1,4,5,0,0,4,1,1
106,1387.32,2021,"25-34","Female","Asian",4,"Employed",1,1,3,2,3,9,1,"Disabled",10,5,6,3,2,5,3,3,1,0,6,"No",16,1,1,NA,NA,NA,NA,NA,2,0,0,3,4,2,1,1,3,0,1
107,1449.125,2021,"15-24","Male","Asian",1,"Employed",0,0,0,1,3,2,1,"not disabled",5,8,7,3,2,5,4,6,8,2,6,"Not Eligible",15,99,1,NA,NA,NA,NA,NA,9,0,0,1,4,1,0,0,3,99,1
108,1247.525,2021,"15-24","Male","Asian",1,"Not in the labour force",0,0,0,1,2,5,1,"not disabled",7,8,8,4,1,4,4,8,6,3,4,"Yes",13,3,2,NA,NA,NA,NA,NA,3,1,0,1,1,1,0,0,3,1,3
109,14718.05,2021,"65+","Female","European/Other",4,"Employed",1,0,0,2,2,10,6,"Disabled",8,8,8,4,1,5,5,7,9,4,5,"Yes",19,1,1,NA,NA,NA,NA,NA,8,0,0,1,1,6,1,1,4,1,1
110,4255.112,2021,"55-64","Female","European/Other",1,"Not in the labour force",1,0,0,2,2,2,1,"not disabled",7,5,8,4,1,5,3,4,8,1,5,"Yes",20,1,1,NA,NA,NA,NA,NA,4,0,1,1,1,5,1,0,4,1,3
111,4931.304,2021,"65+","Male","European/Other",1,"Not in the labour force",1,0,0,2,3,6,1,"not disabled",9,7,10,3,1,3,5,5,10,7,5,"No",19,1,2,NA,NA,NA,NA,NA,9,0,0,1,5,6,0,0,4,0,3
112,6808.28,2021,"55-64","Male","European/Other",4,"Employed",0,0,0,2,3,7,2,"not disabled",8,7,8,5,1,4,4,9,9,8,5,"Yes",20,3,2,NA,NA,NA,NA,NA,8,0,0,2,1,5,0,0,4,1,1
